Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,ID Alternativa 2,Coordenadas Alternativa 2,ID Alternativa 3,Coordenadas Alternativa 3
Agua Caliente,"(28.29184, -108.23804)",CH1870,40.69 km,CH5404,"(28.19311, -108.37132)",CH1916,"(28.20948, -108.20738)",CH3310,"(28.20438, -108.21263)"
Rancho las Gallinas,"(28.76074, -107.69738)",CH1344,34.89 km,CH3441,"(28.84253, -107.75486)",CH2661,"(28.95350, -107.82735)",CH4791,"(28.68567, -107.57261)"
San Luis,"(28.27359, -108.28408)",CH3565,43.96 km,CH1870,"(28.29184, -108.23804)",CH5404,"(28.19311, -108.37132)",CH2652,"(28.16097, -108.57019)"
La Joya,"(27.02892, -107.73714)",CH2269,37.23 km,SI2200,"(26.71148, -108.32373)",CH1693,"(27.49563, -107.89174)",SI0684,"(26.70435, -108.33040)"
El Potrero,"(27.02892, -107.73714)",CH2269,43.88 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",CH1455,"(27.39202, -108.42094)"
RincÃ³n de Baguerachi,"(26.71148, -108.32373)",SI2200,39.36 km,SI0684,"(26.70435, -108.33040)",SI7734,"(26.70969, -108.38353)",CH2269,"(27.02892, -107.73714)"
Moras de Arriba,"(27.02892, -107.73714)",CH2269,45.56 km,SI0684,"(26.70435, -108.33040)",CH1455,"(27.39202, -108.42094)",SI7734,"(26.70969, -108.38353)"
Las Lechuguillas,"(27.02892, -107.73714)",CH2269,35.13 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",SI2520,"(26.61647, -108.30358)"
Mesa Redonda,"(27.02892, -107.73714)",CH2269,31.46 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",—,—
Coyegachi de Arriba,"(27.39202, -108.42094)",CH1455,38.58 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",SI7734,"(26.70969, -108.38353)"
El EspÃ­ritu,"(27.39202, -108.42094)",CH1455,41.99 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",CH2269,"(27.02892, -107.73714)"
Saguaravo,"(27.02892, -107.73714)",CH2269,45.33 km,CH1693,"(27.49563, -107.89174)",SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)"
El Sauz (El Sauco),"(27.02892, -107.73714)",CH2269,37.77 km,SI2200,"(26.71148, -108.32373)",SI0684,"(26.70435, -108.33040)",CH1693,"(27.49563, -107.89174)"
Jecopaco,"(27.38838, -108.85665)",SO9654,41.63 km,CH2652,"(28.16097, -108.57019)",CH1455,"(27.39202, -108.42094)",SO9653,"(27.54569, -109.23106)"
Torichiqui (Murico),"(28.16097, -108.57019)",CH2652,40.57 km,SO9654,"(27.38838, -108.85665)",CH5404,"(28.19311, -108.37132)",CH0784,"(27.87114, -108.21967)"
La Plata,"(28.16097, -108.57019)",CH2652,32.98 km,SO5788,"(28.36982, -108.92706)",—,—,—,—
Palmitoso,"(28.16097, -108.57019)",CH2652,43.62 km,SO9654,"(27.38838, -108.85665)",CH5404,"(28.19311, -108.37132)",CH0784,"(27.87114, -108.21967)"
El Sauz,"(27.45339, -105.81033)",CH0375,31.98 km,CH3953,"(27.97104, -106.11280)",CH5641,"(27.79247, -105.71175)",CH3939,"(27.36270, -105.74811)"
El FaisÃ¡n de las Tapias,"(24.80783, -105.13448)",DU0626,35.76 km,DU0465,"(24.76152, -104.92666)",DU0354,"(24.63796, -104.83325)",DU0622,"(24.82048, -104.99178)"
El Saucito,"(24.94536, -106.94647)",SI0733,32.76 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",—,—
Las Minitas de Palomas,"(24.39128, -104.74190)",DU0265,40.76 km,DU7554,"(24.52131, -104.77514)",DU1649,"(24.52730, -104.77564)",DU7005,"(24.46173, -104.74769)"
Nuevo Pilares,"(23.89548, -104.61598)",DU7017,36.38 km,DU0491,"(23.92472, -104.60914)",DU7550,"(23.84612, -104.47907)",DU4411,"(23.47328, -104.39306)"
San JosÃ©,"(25.93063, -105.95694)",DU0225,33.57 km,DU7944,"(25.92462, -105.94612)",CH3301,"(26.04211, -106.50761)",—,—
Agua Escondida,"(25.93063, -105.95694)",DU0225,45.20 km,DU7944,"(25.92462, -105.94612)",CH3301,"(26.04211, -106.50761)",CH6372,"(26.80163, -105.82446)"
El Carrizo,"(26.04211, -106.50761)",CH3301,51.86 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",CH6372,"(26.80163, -105.82446)"
San Antonio,"(26.04211, -106.50761)",CH3301,46.21 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",CH6372,"(26.80163, -105.82446)"
El Maguey,"(26.04211, -106.50761)",CH3301,34.77 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",—,—
El Potrerito,"(25.93063, -105.95694)",DU0225,37.86 km,DU7944,"(25.92462, -105.94612)",CH3301,"(26.04211, -106.50761)",—,—
El Setenta y Siete,"(25.75608, -104.90372)",DU1677,32.81 km,DU0474,"(25.23641, -104.57425)",DU1322,"(25.41727, -104.28044)",DU5628,"(25.18386, -104.56266)"
Las Palomas (El Gato),"(25.83275, -103.84918)",DU1560,38.07 km,DU0277,"(25.86991, -103.71582)",DU1786,"(26.23463, -103.83921)",DU1322,"(25.41727, -104.28044)"
Puerta el Refugio,"(25.83275, -103.84918)",DU1560,35.29 km,DU0277,"(25.86991, -103.71582)",DU1322,"(25.41727, -104.28044)",—,—
Las GuÃ¡simas,"(23.07844, -104.54656)",DU0496,62.44 km,NA0907,"(22.14175, -105.09664)",NA4258,"(22.26860, -105.20875)",NA0194,"(21.94281, -104.99812)"
La Mora,"(22.14175, -105.09664)",NA0907,68.47 km,DU0496,"(23.07844, -104.54656)",NA0194,"(21.94281, -104.99812)",NA4258,"(22.26860, -105.20875)"
El Duraznito,"(23.07844, -104.54656)",DU0496,73.73 km,NA0907,"(22.14175, -105.09664)",NA0194,"(21.94281, -104.99812)",NA0199,"(22.05219, -105.11579)"
Cantaritos,"(23.07844, -104.54656)",DU0496,63.87 km,NA0907,"(22.14175, -105.09664)",NA4258,"(22.26860, -105.20875)",NA0194,"(21.94281, -104.99812)"
Los Sapos,"(22.63707, -105.31837)",NA7565,43.51 km,NA4245,"(22.49835, -105.32586)",NA4258,"(22.26860, -105.20875)",NA0228,"(22.39346, -105.30152)"
Ceja del Nido,"(23.07844, -104.54656)",DU0496,47.92 km,NA7565,"(22.63707, -105.31837)",NA0226,"(22.51984, -105.34442)",NA4245,"(22.49835, -105.32586)"
El Cacao,"(25.05276, -106.33673)",DU0174,47.05 km,SI4807,"(24.41386, -106.69064)",SI2224,"(24.38410, -106.69087)",—,—
El MontÃ³n de Piedras,"(25.05276, -106.33673)",DU0174,52.56 km,DU0467,"(24.94863, -105.41173)",DU0634,"(25.33103, -105.77888)",SI4807,"(24.41386, -106.69064)"
La Becerra,"(24.94863, -105.41173)",DU0467,56.16 km,DU7552,"(25.04575, -105.43594)",DU2990,"(25.03256, -105.42306)",DU0238,"(25.05529, -105.43177)"
El PolvorÃ­n,"(25.05276, -106.33673)",DU0174,44.57 km,SI4807,"(24.41386, -106.69064)",SI2224,"(24.38410, -106.69087)",—,—
El Gallito,"(23.00004, -105.85801)",SI0749,54.08 km,SI3725,"(23.03549, -105.87637)",SI9133,"(22.90478, -105.80685)",SI3720,"(22.98830, -105.85966)"
Los Bagres,"(22.63707, -105.31837)",NA7565,50.07 km,NA0226,"(22.51984, -105.34442)",NA4245,"(22.49835, -105.32586)",SI5259,"(22.69774, -105.60621)"
El Naranjito [Del Jocuixtle],"(23.70194, -105.57852)",DU4501,55.43 km,DU0235,"(23.77339, -105.35650)",DU6999,"(23.77830, -105.37182)",DU5639,"(23.74774, -105.53415)"
El Capulin [De JagÃ¼eyes],"(23.77339, -105.35650)",DU0235,35.23 km,DU6999,"(23.77830, -105.37182)",DU2983,"(23.78909, -105.34690)",DU0347,"(23.79810, -105.38399)"
San NicolÃ¡s,"(23.52929, -105.78702)",SI4799,38.84 km,DU5639,"(23.74774, -105.53415)",SI6211,"(23.48669, -105.84315)",SI0060,"(23.42616, -105.85934)"
RincÃ³n de los Carrizos,"(22.63707, -105.31837)",NA7565,64.93 km,DU0235,"(23.77339, -105.35650)",DU6999,"(23.77830, -105.37182)",DU2983,"(23.78909, -105.34690)"
El Barroso,"(23.92609, -105.34104)",DU0266,52.03 km,DU0472,"(23.86234, -105.31529)",DU0176,"(24.90683, -105.37349)",DU0626,"(24.80783, -105.13448)"
El Coyote de Arriba,"(24.90683, -105.37349)",DU0176,49.10 km,DU0467,"(24.94863, -105.41173)",DU0626,"(24.80783, -105.13448)",DU2990,"(25.03256, -105.42306)"
San JosÃ© de la Puentecilla,"(24.90683, -105.37349)",DU0176,58.73 km,DU0467,"(24.94863, -105.41173)",DU0266,"(23.92609, -105.34104)",DU2990,"(25.03256, -105.42306)"
Las Ãguilas de Abajo,"(23.92609, -105.34104)",DU0266,42.16 km,DU0472,"(23.86234, -105.31529)",DU4459,"(23.92150, -105.14519)",DU5631,"(23.85471, -105.24624)"
Memelujo,"(23.73250, -105.69011)",DU1926,50.37 km,DU0471,"(23.81039, -105.54583)",DU5639,"(23.74774, -105.53415)",DU4501,"(23.70194, -105.57852)"
Los MacÃ­as de Abajo,"(24.90683, -105.37349)",DU0176,52.48 km,DU0467,"(24.94863, -105.41173)",DU0626,"(24.80783, -105.13448)",DU2990,"(25.03256, -105.42306)"
La Mora,"(25.05276, -106.33673)",DU0174,74.64 km,DU0467,"(24.94863, -105.41173)",DU0176,"(24.90683, -105.37349)",DU2990,"(25.03256, -105.42306)"
El Ranchito de Cornelio,"(24.90683, -105.37349)",DU0176,42.42 km,DU0467,"(24.94863, -105.41173)",DU0626,"(24.80783, -105.13448)",DU2990,"(25.03256, -105.42306)"
El Venadillo,"(23.73250, -105.69011)",DU1926,44.60 km,DU0471,"(23.81039, -105.54583)",DU5639,"(23.74774, -105.53415)",DU4501,"(23.70194, -105.57852)"
El Roble,"(23.81039, -105.54583)",DU0471,45.86 km,DU5639,"(23.74774, -105.53415)",DU4501,"(23.70194, -105.57852)",DU0266,"(23.92609, -105.34104)"
La Bellota,"(24.90683, -105.37349)",DU0176,42.28 km,DU0467,"(24.94863, -105.41173)",DU0626,"(24.80783, -105.13448)",DU2990,"(25.03256, -105.42306)"
El Torito,"(23.92609, -105.34104)",DU0266,39.87 km,DU0472,"(23.86234, -105.31529)",DU0471,"(23.81039, -105.54583)",DU5631,"(23.85471, -105.24624)"
El Barroso Viejo,"(23.92609, -105.34104)",DU0266,50.78 km,DU0472,"(23.86234, -105.31529)",DU4459,"(23.92150, -105.14519)",DU0626,"(24.80783, -105.13448)"
La Linterna,"(25.41727, -104.28044)",DU1322,31.72 km,DU0164,"(25.31010, -104.65616)",DU0474,"(25.23641, -104.57425)",—,—
La Mesa de Potrerillos,"(24.94863, -105.41173)",DU0467,30.00 km,DU0176,"(24.90683, -105.37349)",DU2990,"(25.03256, -105.42306)",DU7552,"(25.04575, -105.43594)"
Graja los Fresnitos,"(25.04575, -105.43594)",DU7552,38.07 km,DU0238,"(25.05529, -105.43177)",DU2990,"(25.03256, -105.42306)",DU0467,"(24.94863, -105.41173)"
El Guayabito,"(24.94536, -106.94647)",SI0733,37.68 km,SI2224,"(24.38410, -106.69087)",SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)"
Pinos Altos,"(24.94536, -106.94647)",SI0733,36.15 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",SI4807,"(24.41386, -106.69064)"
El Taste,"(24.94536, -106.94647)",SI0733,36.74 km,SI4807,"(24.41386, -106.69064)",SI2620,"(24.96764, -106.97108)",SI2224,"(24.38410, -106.69087)"
La Gloria,"(24.38410, -106.69087)",SI2224,31.94 km,SI4807,"(24.41386, -106.69064)",—,—,—,—
La Taunita,"(24.94536, -106.94647)",SI0733,32.87 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",—,—
El MelÃ³n,"(24.94536, -106.94647)",SI0733,30.43 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",—,—
La Culebra,"(25.93063, -105.95694)",DU0225,50.33 km,DU7944,"(25.92462, -105.94612)",DU0174,"(25.05276, -106.33673)",DU0634,"(25.33103, -105.77888)"
La Tableta,"(25.46960, -106.92968)",SI0507,40.91 km,SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)",—,—
BerlÃ­n,"(25.46960, -106.92968)",SI0507,53.06 km,SI1818,"(25.47913, -106.93961)",CH3301,"(26.04211, -106.50761)",DU0225,"(25.93063, -105.95694)"
Las Cruces,"(25.46960, -106.92968)",SI0507,53.07 km,SI1818,"(25.47913, -106.93961)",CH3301,"(26.04211, -106.50761)",DU0225,"(25.93063, -105.95694)"
Ojos Azules I,"(25.92462, -105.94612)",DU7944,40.98 km,DU0225,"(25.93063, -105.95694)",DU0634,"(25.33103, -105.77888)",DU5626,"(25.33328, -105.73028)"
La ConcepciÃ³n (Cercadito de Enmedio),"(25.33103, -105.77888)",DU0634,32.24 km,DU0468,"(25.34867, -105.71981)",DU5626,"(25.33328, -105.73028)",DU2363,"(25.34073, -105.72376)"
La Loma,"(25.46960, -106.92968)",SI0507,52.28 km,SI1818,"(25.47913, -106.93961)",CH3301,"(26.04211, -106.50761)",DU0225,"(25.93063, -105.95694)"
El GavilÃ¡n,"(25.05276, -106.33673)",DU0174,50.46 km,CH3301,"(26.04211, -106.50761)",DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)"
El Saucillal,"(25.92462, -105.94612)",DU7944,37.70 km,DU0225,"(25.93063, -105.95694)",DU0634,"(25.33103, -105.77888)",DU0468,"(25.34867, -105.71981)"
El Cercado de Santa Rosa,"(25.93063, -105.95694)",DU0225,40.23 km,DU7944,"(25.92462, -105.94612)",CH3301,"(26.04211, -106.50761)",—,—
Frailecillos de los Reyes,"(25.93063, -105.95694)",DU0225,33.64 km,DU7944,"(25.92462, -105.94612)",CH3301,"(26.04211, -106.50761)",—,—
La Puerta,"(25.93063, -105.95694)",DU0225,32.18 km,DU7944,"(25.92462, -105.94612)",—,—,—,—
La Joyita,"(26.04211, -106.50761)",CH3301,43.03 km,DU0225,"(25.93063, -105.95694)",DU7944,"(25.92462, -105.94612)",—,—
El Amolillo,"(24.96764, -106.97108)",SI2620,31.15 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",—,—
La Junta de los HernÃ¡ndez (La Junta),"(25.05276, -106.33673)",DU0174,32.16 km,SI0733,"(24.94536, -106.94647)",SI2620,"(24.96764, -106.97108)",—,—
La Mesa del Barranco,"(24.94536, -106.94647)",SI0733,36.89 km,SI2620,"(24.96764, -106.97108)",DU0174,"(25.05276, -106.33673)",SI0507,"(25.46960, -106.92968)"
Los Chirimoyos,"(24.96764, -106.97108)",SI2620,32.90 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)"
El Roblar,"(24.96764, -106.97108)",SI2620,32.32 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)"
Divisadero de Galancita,"(24.96764, -106.97108)",SI2620,30.79 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",—,—
El Bledal,"(24.96764, -106.97108)",SI2620,32.08 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)"
Los Platanitos,"(24.96764, -106.97108)",SI2620,33.38 km,SI0507,"(25.46960, -106.92968)",SI1818,"(25.47913, -106.93961)",DU0174,"(25.05276, -106.33673)"
Las Cruces,"(24.96764, -106.97108)",SI2620,31.28 km,SI0507,"(25.46960, -106.92968)",SI0733,"(24.94536, -106.94647)",SI1818,"(25.47913, -106.93961)"
Huizaches,"(21.66592, -100.57576)",SL8988,34.64 km,GT1196,"(21.37447, -100.54842)",GT1559,"(21.29987, -100.48099)",SL5998,"(21.82567, -100.03883)"
Puerto del Huizachal,"(21.66592, -100.57576)",SL8988,30.51 km,SL5998,"(21.82567, -100.03883)",SL0544,"(21.97204, -100.37266)",SL0909,"(21.91709, -100.10040)"
La PeÃ±a Azul,"(21.82567, -100.03883)",SL5998,35.22 km,GT1171,"(21.21550, -100.22275)",GT1316,"(21.20378, -100.18239)",SL1080,"(21.76611, -99.91189)"
La Palma,"(18.24819, -101.88580)",MI7482,30.41 km,MI2928,"(18.29047, -101.90400)",MI0895,"(18.11272, -101.89917)",MI7606,"(18.66281, -101.64622)"
Los Colorines (El ColorÃ­n),"(18.24280, -100.89106)",GR0456,40.42 km,GR2153,"(18.29553, -100.85231)",GR6769,"(18.15450, -100.50047)",GR1219,"(18.21538, -100.55082)"
El Jilguero,"(17.92179, -101.32309)",GR6118,30.56 km,GR6057,"(17.54143, -101.26027)",GR1506,"(17.55017, -101.27818)",GR4006,"(17.53511, -101.27707)"
Las Trincheras,"(18.24280, -100.89106)",GR0456,35.42 km,GR2153,"(18.29553, -100.85231)",GR7042,"(18.33944, -100.81833)",GR1219,"(18.21538, -100.55082)"
Rancho el Fresno,"(17.37841, -101.05556)",GR3317,47.21 km,GR6057,"(17.54143, -101.26027)",GR1506,"(17.55017, -101.27818)",GR6108,"(17.49178, -101.24906)"
La Esperanza,"(17.26701, -100.88046)",GR0233,37.81 km,GR5716,"(17.27178, -100.89222)",GR1505,"(17.22878, -100.63653)",GR5184,"(17.21094, -100.75567)"
Rancho las Palmitas,"(17.22878, -100.63653)",GR1505,35.28 km,GR4010,"(17.22302, -100.63185)",GR1238,"(17.20775, -100.63081)",GR5184,"(17.21094, -100.75567)"
Las Ãnimas,"(18.47569, -100.97771)",GR2165,39.14 km,GR6118,"(17.92179, -101.32309)",GR0456,"(18.24280, -100.89106)",GR0464,"(18.34305, -100.88518)"
Huicumo,"(18.47569, -100.97771)",GR2165,42.43 km,MI7606,"(18.66281, -101.64622)",GR0464,"(18.34305, -100.88518)",GR6118,"(17.92179, -101.32309)"
El Zapote,"(18.47569, -100.97771)",GR2165,36.16 km,GR0464,"(18.34305, -100.88518)",GR0456,"(18.24280, -100.89106)",GR2153,"(18.29553, -100.85231)"
Zurundanico,"(18.47569, -100.97771)",GR2165,30.66 km,MI2334,"(18.62467, -100.90117)",MI4262,"(18.64277, -100.89956)",MI1393,"(18.63505, -100.89195)"
Agua Bendita,"(18.47569, -100.97771)",GR2165,32.57 km,GR0464,"(18.34305, -100.88518)",GR0456,"(18.24280, -100.89106)",GR2153,"(18.29553, -100.85231)"
El Descanso,"(18.47569, -100.97771)",GR2165,38.82 km,GR0464,"(18.34305, -100.88518)",MI7606,"(18.66281, -101.64622)",GR0456,"(18.24280, -100.89106)"
La Zoquitera,"(18.47569, -100.97771)",GR2165,31.70 km,GR0464,"(18.34305, -100.88518)",GR0456,"(18.24280, -100.89106)",GR2153,"(18.29553, -100.85231)"
Hacienda de Guadalupe (La Escoba),"(21.98111, -103.58889)",JL8886,41.35 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",JL8887,"(21.92350, -103.44289)"
Hacienda de los Limones,"(21.98111, -103.58889)",JL8886,53.09 km,JL1636,"(21.97547, -103.50061)",ZA1169,"(21.50249, -103.55792)",NA5834,"(21.42382, -104.44885)"
La Playita,"(21.98111, -103.58889)",JL8886,47.34 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",JL8887,"(21.92350, -103.44289)"
ComisarÃ­a,"(21.98111, -103.58889)",JL8886,50.93 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",JL8887,"(21.92350, -103.44289)"
El Huizache,"(21.98111, -103.58889)",JL8886,50.66 km,JL1636,"(21.97547, -103.50061)",ZA0263,"(21.80789, -103.46603)",JL8887,"(21.92350, -103.44289)"
El Ciruelo de Abajo,"(21.80789, -103.46603)",ZA0263,31.87 km,ZA1169,"(21.50249, -103.55792)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
BajÃ­o de Navejas,"(22.76281, -103.57483)",ZA0128,42.70 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
Loma y Plan de la Cueva (Rancho los Medina),"(22.76281, -103.57483)",ZA0128,37.13 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
El Pinito Dos,"(22.76281, -103.57483)",ZA0128,44.57 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
Las Ãguilas,"(22.30032, -103.55819)",ZA0292,47.04 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)"
El Romerillo,"(22.76281, -103.57483)",ZA0128,48.34 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
El Cerro de los Caldera (El Cerrito),"(22.76281, -103.57483)",ZA0128,38.31 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
La Taberna,"(22.30032, -103.55819)",ZA0292,47.34 km,ZA0347,"(22.44342, -103.50008)",ZA0128,"(22.76281, -103.57483)",ZA0447,"(22.76671, -103.57033)"
El Encino,"(22.76281, -103.57483)",ZA0128,42.39 km,ZA0447,"(22.76671, -103.57033)",ZA5108,"(22.77271, -103.56863)",ZA0382,"(22.78473, -103.55256)"
El Zapote,"(22.30032, -103.55819)",ZA0292,66.36 km,ZA0347,"(22.44342, -103.50008)",ZA0128,"(22.76281, -103.57483)",ZA0447,"(22.76671, -103.57033)"
La Chivilla (La Chivita),"(22.30032, -103.55819)",ZA0292,58.24 km,JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)",JL8887,"(21.92350, -103.44289)"
Los Curpos,"(22.30032, -103.55819)",ZA0292,52.66 km,JL8886,"(21.98111, -103.58889)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
La Mesa,"(21.98111, -103.58889)",JL8886,54.40 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Puertecito de las Gallinas,"(22.30032, -103.55819)",ZA0292,49.24 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
San JosÃ©,"(22.30032, -103.55819)",ZA0292,54.38 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Taller de Tuapuri (Santa Cruz),"(22.30032, -103.55819)",ZA0292,40.41 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Techalotita,"(21.98111, -103.58889)",JL8886,64.44 km,NA5834,"(21.42382, -104.44885)",NA5833,"(21.44087, -104.48832)",JL1636,"(21.97547, -103.50061)"
Huizache,"(21.98111, -103.58889)",JL8886,76.52 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",NA5833,"(21.44087, -104.48832)"
Carrizal,"(21.98111, -103.58889)",JL8886,70.12 km,NA0221,"(21.46807, -104.65590)",NA0195,"(21.50351, -104.70170)",NA0192,"(21.42181, -104.61091)"
Tapalo,"(21.98111, -103.58889)",JL8886,53.71 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
El Huarache,"(21.66886, -104.84350)",NA2847,75.08 km,NA5834,"(21.42382, -104.44885)",NA0194,"(21.94281, -104.99812)",NA0195,"(21.50351, -104.70170)"
Los Manzanillos,"(22.30032, -103.55819)",ZA0292,68.23 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",ZA0128,"(22.76281, -103.57483)"
Piedras Chinas,"(21.98111, -103.58889)",JL8886,39.83 km,JL1636,"(21.97547, -103.50061)",ZA0292,"(22.30032, -103.55819)",JL8887,"(21.92350, -103.44289)"
Rancho JosÃ© GonzÃ¡lez,"(21.98111, -103.58889)",JL8886,44.59 km,JL1636,"(21.97547, -103.50061)",ZA0292,"(22.30032, -103.55819)",JL8887,"(21.92350, -103.44289)"
Colima,"(22.30032, -103.55819)",ZA0292,67.85 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Hauyewekame Menawe (El NiÃ±o Perdido),"(22.30032, -103.55819)",ZA0292,53.82 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",ZA0128,"(22.76281, -103.57483)"
Los Toros,"(22.30032, -103.55819)",ZA0292,51.78 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
Gavilanes,"(21.98111, -103.58889)",JL8886,57.91 km,JL1636,"(21.97547, -103.50061)",NA5834,"(21.42382, -104.44885)",NA5833,"(21.44087, -104.48832)"
Chicago,"(22.30032, -103.55819)",ZA0292,67.28 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",ZA0128,"(22.76281, -103.57483)"
Los Otates,"(22.30032, -103.55819)",ZA0292,59.87 km,JL8886,"(21.98111, -103.58889)",ZA0347,"(22.44342, -103.50008)",JL1636,"(21.97547, -103.50061)"
El Pinar,"(21.98111, -103.58889)",JL8886,41.43 km,ZA0292,"(22.30032, -103.55819)",JL1636,"(21.97547, -103.50061)",ZA0347,"(22.44342, -103.50008)"
Segundo Nivel,"(22.30032, -103.55819)",ZA0292,67.00 km,ZA0347,"(22.44342, -103.50008)",JL8886,"(21.98111, -103.58889)",ZA0128,"(22.76281, -103.57483)"
El Cosme,"(21.50249, -103.55792)",ZA1169,38.45 km,ZA0263,"(21.80789, -103.46603)",JL8886,"(21.98111, -103.58889)",ZA0044,"(21.46583, -103.46193)"
La GuÃ¡sima,"(21.50249, -103.55792)",ZA1169,39.73 km,ZA0263,"(21.80789, -103.46603)",JL1636,"(21.97547, -103.50061)",JL8887,"(21.92350, -103.44289)"
La Montosa,"(21.50249, -103.55792)",ZA1169,30.67 km,ZA0263,"(21.80789, -103.46603)",JL8886,"(21.98111, -103.58889)",ZA0044,"(21.46583, -103.46193)"
El Sauz,"(21.50249, -103.55792)",ZA1169,37.98 km,ZA0263,"(21.80789, -103.46603)",ZA0044,"(21.46583, -103.46193)",JL8886,"(21.98111, -103.58889)"
Los Viejitos,"(21.50249, -103.55792)",ZA1169,30.24 km,ZA0044,"(21.46583, -103.46193)",—,—,—,—
Agua Caliente,"(21.50249, -103.55792)",ZA1169,32.50 km,ZA0044,"(21.46583, -103.46193)",ZA0263,"(21.80789, -103.46603)",ZA8178,"(21.51044, -103.40625)"
Los Llanitos,"(21.01186, -103.72031)",JL5685,30.17 km,JL3719,"(21.06036, -104.05015)",JL7658,"(21.05342, -104.04722)",JL1792,"(20.94506, -103.85611)"
El Rodeo,"(18.07419, -102.75777)",MI7528,42.10 km,MI3038,"(18.77230, -103.16224)",MI5655,"(18.78114, -103.15643)",MI0488,"(18.78103, -103.16914)"
Rosa Morada,"(18.07419, -102.75777)",MI7528,43.50 km,MI3038,"(18.77230, -103.16224)",MI5655,"(18.78114, -103.15643)",MI0488,"(18.78103, -103.16914)"
